Название продукта;ссылка на продукт;Банк;ссылка на картинку
Кредитна картка «Хочу-карта»;https://minfin.com.ua/ua/cards/116-1-aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Кредитна картка «Card Blanche White+»;https://minfin.com.ua/ua/cards/15160-10-ideabank/;Ідея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/62b5b39aa805c.png
Кредитна картка «Сaméléon»;https://minfin.com.ua/ua/cards/13435-3-alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
Дебетова картка «Правильна картка»;https://minfin.com.ua/ua/cards/15159-36-kredobank/;Кредобанк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62b461b268b8f.png
Кредитна картка «soloМандри»;https://minfin.com.ua/ua/cards/13-9-pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79c882d.png
Кредитна картка «Велика п'ятірка»;https://minfin.com.ua/ua/cards/59-15-taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
Кредитна картка «Зелена»;https://minfin.com.ua/ua/cards/3492-22-a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Кредитна картка «Monobank»;https://minfin.com.ua/ua/cards/306-72-monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
Кредитна картка «Freecard gold»;https://minfin.com.ua/ua/cards/77-7-credit-dnepr/;Банк Кредит Дніпро;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Кредитна картка «Еко-кредитка»;https://minfin.com.ua/ua/cards/4986-5-ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Кредитна картка «Універсальна»;https://minfin.com.ua/ua/cards/14-4-privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Кредитна картка «Коко Кард»;https://minfin.com.ua/ua/cards/3795-21-forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
Кредитна картка «Benefit New»;https://minfin.com.ua/ua/cards/12391-119-marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
Кредитна картка «Платинум Преміум +»;https://minfin.com.ua/ua/cards/12323-97-ukrstroyinvestbank/;Укрбудінвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
Кредитна картка «Запасочка»;https://minfin.com.ua/ua/cards/71-26-globus/;Глобус;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac8d5136.png
Кредитна картка «Neocard»;https://minfin.com.ua/ua/cards/13983-401-neobank/;Neobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/619ba9e66ebb5.png
Дебетова карта «Дитяча картка CIB Junior»;https://minfin.com.ua/ua/cards/12514-16-cib/;Комерційний Індустріальний Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60ade30179c4c.png
Дебетова картка «New Card»;https://minfin.com.ua/ua/cards/12783-12-ukrsibbank/;Укрсиббанк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60891be10d408.png
Дебетова картка «Універсальна»;https://minfin.com.ua/ua/cards/12821-34-bis/;Банк інвестицій та заощаджень;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062221bbd726.png
Дебетова картка «Персональна»;https://minfin.com.ua/ua/cards/15133-89-alliance/;Альянс Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62a2f86fc0325.png
